starRating,Gender_Numeric,Year,cleaned_text,sentiment_score,word_count,avg_word,sentiment_label,sentiment_ml,sentiment
5,1,2019,im every beginning year highly recommend chalet food entertainment wide variety,0.03,11,6.2727272727272725,Neutral,1,0
5,2,2019,beautiful pleasant place breakfast lunch lot variety delicious,0.861111111111111,8,6.875,Positive,2,0
1,2,2019,thought horrible location much many demand owner order come loud noise much le accumulation tent,-0.05,15,5.466666666666667,Negative,0,0
5,1,2019,one best canpings region,1.0,4,5.25,Positive,2,0
5,1,2019,family place found thing site expensive like lunch ice cream entrance chalet,-0.5,12,5.416666666666667,Negative,0,0
5,1,2019,great place affordable price thats greices trailer is,0.8,8,5.75,Positive,2,0
3,3,2019,went campsite stay saturday sunday arrived 330 pm wanted charge 2 day really upset since go almost holiday decided leave girl reception wanted let u climatestress left got know much better camping site theirs is always went there better option think campsite region improve checkin time go camping time make difference need set tent see location camping lighting efficient different staying chalet saw everyone problem campground allowed enter earlier exception level another thing price breakfast abusive,0.19999999999999998,76,5.657894736842105,Neutral,1,0
5,1,2019,congratulation clean organized campsite,0.3666666666666667,4,9.0,Neutral,1,0
2,1,2021,place nice charge unfair arrive 12 pm saturday camp leave sunday pay two night,0.04999999999999999,14,4.642857142857143,Neutral,1,0
5,1,2022,love place worth trip,0.4,4,4.5,Neutral,1,0
5,1,2022,liked place tasty recommend,0.6,4,6.0,Positive,2,0
5,1,2020,stay well looked after,0.0,4,4.75,Neutral,1,0
5,1,2018,great place great food great accommodation good,0.7750000000000001,7,5.857142857142857,Positive,2,0
4,1,2019,cool infrastructure price bit lacking stay restaurant,0.35,7,6.714285714285714,Neutral,1,0
5,1,2022,top place,0.5,2,4.0,Neutral,1,0
5,1,2018,good walk weekend special occasionsall wonderful,0.6857142857142856,6,7.166666666666667,Positive,2,0
4,1,2018,good family peaceful safe,0.48333333333333334,4,5.5,Neutral,1,0
5,1,2017,camping good tasty healthy place,0.6,5,5.6,Positive,2,0
5,1,2022,one best camping brazil,1.0,4,5.0,Positive,2,0
5,1,2017,nice space several place tent good restaurant highlight common space camper prepare meal peaceful welcoming,0.24999999999999994,15,6.2,Neutral,1,0
5,1,2018,perfect infrastructure camping accommodation addition peaceful nature climate providing comfort,0.625,10,8.6,Positive,2,0
5,1,2019,good,0.7,1,4.0,Positive,2,0
5,1,2021,excellent place,1.0,2,7.0,Positive,2,0
5,1,2019,great spot,0.8,2,4.5,Positive,2,0
2,1,2019,going give score 1 decided give 2 place beautiful lack thing camping area crowded time respect rule found price charged abusive elite place camping can not expensive renting house chalet weekend expensive there,0.20000000000000004,33,5.393939393939394,Neutral,1,0
5,2,2019,clean organized chalet breakfast lunch tasty wonderful space disconnect rush enjoy nature,0.5888888888888889,12,6.5,Positive,2,0
5,2,2019,loved,0.7,1,5.0,Positive,2,0
5,2,2017,best region,1.0,2,5.0,Positive,2,0
5,2,2020,perfect,1.0,1,7.0,Positive,2,0
5,2,2022,place wonderful camped first area designated tent thing need improve little community kitchen area,0.3541666666666667,14,6.071428571428571,Neutral,1,0
5,2,2021,nice place spend day camp,0.6,5,4.2,Positive,2,0
5,2,2018,wonderful,1.0,1,9.0,Positive,2,0
3,2,2020,place nice good price however saw mother washing baby diaper swimming pool child peeing edge pool parent laughing water pool filthy even skin problem due contaminated water contracted bacteria doctor say treated water none pool lifeguard supervision whatsoever people want sign prohibiting drinking pool many people beer can inside pool snack bar weak item menu have espresso coffee cake menu then afternoon snack option,0.0833333333333333,64,5.578125,Neutral,1,0
5,2,2023,simple adorable familiar,0.2916666666666667,3,7.333333333333333,Neutral,1,0
5,2,2023,beautiful place great service super calm organized great restaurant several attraction hope come back soon,0.4404761904761904,15,6.133333333333334,Neutral,1,0
4,2,2021,nice place lot tree excellent service,0.8,6,5.333333333333333,Positive,2,0
5,2,2018,love place 4 pool,0.5,4,3.5,Neutral,1,0
5,2,2019,wonderful environment enjoy family super attentive friendly staff magnificent structure negative point heated pool open otherwise family love everything highly recommend,0.38683333333333336,21,7.095238095238095,Neutral,1,0
5,2,2019,great,0.8,1,5.0,Positive,2,0
5,2,2019,great,0.8,1,5.0,Positive,2,0
5,2,2017,family friendly place relax fun,0.3375,5,5.4,Neutral,1,0
1,2,2023,bad went birthday party colleague chalet arrived space allow u entry spend fuel toll thing take lot lack consideration u customer long time disappointing need customershuh,-0.44999999999999996,26,5.615384615384615,Negative,0,0
5,2,2017,family camping great structure camping several swimming pool leisure area good pet allowed campsite do aim comfort enjoyment customer,0.5,19,6.052631578947368,Neutral,1,0
5,2,2017,loved going daughter,0.7,3,6.0,Positive,2,0
5,2,2021,beautiful cozy familiar clean place good food,0.41833333333333333,7,5.571428571428571,Neutral,1,0
5,2,2022,excellent,1.0,1,9.0,Positive,2,0
4,2,2018,camping organized clean lot option child,0.3666666666666667,6,5.833333333333333,Neutral,1,0
5,2,2018,delightful place,1.0,2,7.5,Positive,2,0
5,2,2019,excellent place rest best recommend approved good taste,0.9,8,6.0,Positive,2,0
3,2,2019,great place nice pool restaurant could option,0.7,7,5.571428571428571,Positive,2,0
5,2,2023,great,0.8,1,5.0,Positive,2,0
5,2,2021,perfect place rest lot fresh air 5 pool get crowded restaurant top food great location highly recommend,0.552,17,5.117647058823529,Positive,2,0
5,2,2016,show,0.0,1,4.0,Neutral,1,0
5,2,2019,clean organized,0.3666666666666667,2,7.0,Neutral,1,0
5,2,2019,always excellent,1.0,2,7.5,Positive,2,0
5,2,2020,wonderful place,1.0,2,7.0,Positive,2,0
5,2,2021,everything sooo wonderful,1.0,3,7.666666666666667,Positive,2,0
