reviewer,starRating,comment,createTime,updateTime,name,displayName,reviewer_name,review_id,reviewReply
{'displayName': 'Alessandro Filipe (Alê)'},FIVE,"(Translated by Google) Camping is pretty cool

(Original)
O camping é bem legal",2017-08-02T01:33:16.793Z,2017-08-02T01:33:16.793Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURRekxMMFhnEAE,Alessandro Filipe (Alê),Alessandro Filipe (Alê),ChZDSUhNMG9nS0VJQ0FnSURRekxMMFhnEAE,
{'displayName': 'Rilvana Pinheiro'},FIVE,"(Translated by Google) Wonderful place to spend a day with the family, maintained, organized, pleasant, clean environment

(Original)
Lugar maravilhoso para passar um dia em família, conservado, organizado, agradável, ambiente limpo",2017-07-31T22:03:13.250Z,2017-07-31T22:03:13.250Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNBMXBEOURnEAE,Rilvana Pinheiro,Rilvana Pinheiro,ChZDSUhNMG9nS0VJQ0FnSUNBMXBEOURnEAE,
{'displayName': 'Renata Vallerio'},FOUR,Ok,2017-07-30T20:02:42.772Z,2017-07-30T20:02:42.772Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURBb3NHM25BRRAB,Renata Vallerio,Renata Vallerio,ChdDSUhNMG9nS0VJQ0FnSURBb3NHM25BRRAB,
{'displayName': 'Luis Fernando'},FIVE,"(Translated by Google) Wonderful space and experience with nature

(Original)
Maravilhoso espaço e vivência com a natureza",2017-07-29T11:41:13.472Z,2017-07-29T11:41:40.938Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURnMzc2a2t3RRAB,Luis Fernando,Luis Fernando,ChdDSUhNMG9nS0VJQ0FnSURnMzc2a2t3RRAB,
{'displayName': 'Ana Paula Beltrão Machado'},FIVE,"(Translated by Google) It's great for taking children, it has water slides, a heated pool, sauna, snack bar, and is a great structure for camping and chalets.

(Original)
É ótimo para levar as crianças, tem toboáguas, piscina aquecida, sauna, lanchonete, é ótima estrutura para camping e chalés.",2017-07-29T03:58:47.007Z,2017-07-29T04:00:17.528Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNRbUpXbUx3EAE,Ana Paula Beltrão Machado,Ana Paula Beltrão Machado,ChZDSUhNMG9nS0VJQ0FnSUNRbUpXbUx3EAE,
{'displayName': 'Ricardo Costa'},FIVE,"(Translated by Google) Beautiful place, very familiar, quiet

(Original)
Lindo lugar, bem familiar, tranquilo",2017-07-28T22:03:55.945Z,2017-07-28T22:03:55.945Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURBbUxTaDFBRRAB,Ricardo Costa,Ricardo Costa,ChdDSUhNMG9nS0VJQ0FnSURBbUxTaDFBRRAB,
{'displayName': 'Marcio Oliveira'},FIVE,"(Translated by Google) Very complete structure for camping with tents or staying in chalets. The heated pool is delightful.

(Original)
Estrutura muito completa para acampar com barracas ou Tb ficar em chalés. A piscina aquecida é uma delícia.",2017-07-28T22:03:07.941Z,2017-07-28T22:03:07.941Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUN3MEo2Q25RRRAB,Marcio Oliveira,Marcio Oliveira,ChdDSUhNMG9nS0VJQ0FnSUN3MEo2Q25RRRAB,
{'displayName': 'Ivanilda Lorena'},FIVE,,2017-07-26T23:37:29.333Z,2017-07-26T23:37:29.333Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURBdnI2Tk5nEAE,Ivanilda Lorena,Ivanilda Lorena,ChZDSUhNMG9nS0VJQ0FnSURBdnI2Tk5nEAE,
{'displayName': 'Elaine Araujo'},FIVE,"(Translated by Google) Full of attractions for children, even in winter as the campsite has a heated pool, dry sauna and steam room. A very pleasant place to take the family and have contact with nature.

(Original)
Cheio de atrações para as crianças, mesmo no inverno pois o camping possui piscina aquecida, sauna seca é a vapor.",2017-07-25T13:45:20.384Z,2017-07-25T13:47:11.885Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNBd1o2anZBRRAB,Elaine Araujo,Elaine Araujo,ChdDSUhNMG9nS0VJQ0FnSUNBd1o2anZBRRAB,
{'displayName': 'Edson Ogata'},FOUR,"(Translated by Google) Camping with a family atmosphere and good structure, with swimming pools and courts. Grassy camping area with structure for washing dishes. Simple bathrooms but are cleaned daily. It also has cottages.

(Original)
Camping com ambiente familiar e boa estrutura, possuindo piscinas e quadras. Área de acampamento gramada e com estrutura para lavar pratos. Banheiros simples porém são limpos diariamente. Também possui chalés.",2017-05-26T22:07:31.680Z,2017-07-23T04:21:41.602Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNRajZ2WTlRRRAB,Edson Ogata,Edson Ogata,ChdDSUhNMG9nS0VJQ0FnSUNRajZ2WTlRRRAB,
{'displayName': 'Paulo Thunder'},FIVE,,2017-07-21T05:55:14.115Z,2017-07-21T05:55:14.115Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNRNWFfUVJ3EAE,Paulo Thunder,Paulo Thunder,ChZDSUhNMG9nS0VJQ0FnSUNRNWFfUVJ3EAE,
{'displayName': 'Gui e rafa Filios'},FOUR,,2017-07-18T21:06:30.581Z,2017-07-18T21:06:30.581Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNnOTlyNEV3EAE,Gui e rafa Filios,Gui e rafa Filios,ChZDSUhNMG9nS0VJQ0FnSUNnOTlyNEV3EAE,
{'displayName': 'Dayana Godeguesi Ayres'},FIVE,"(Translated by Google) The best camping I've ever been to! Very cool structure in a family and fun environment. I recommend it to everyone! Super close to the city center. I've been going there for years!

(Original)
O melhor camping que já fui! Estrutura muito legal em um ambiente familiar e divertido. Recomendo a todos! Super perto do centro da cidade. Já frequento a anos!",2017-07-17T23:33:34.267Z,2017-07-17T23:33:34.267Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURBdjVTMF93RRAB,Dayana Godeguesi Ayres,Dayana Godeguesi Ayres,ChdDSUhNMG9nS0VJQ0FnSURBdjVTMF93RRAB,
